[0.002s][warning][gc,jvmci] Setting EnableJVMCI to false as selected GC does not support JVMCI: z gc
[0.006s][debug  ][gc,heap ] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 16106127360
[0.006s][info   ][gc,init ] Initializing The Z Garbage Collector
[0.006s][info   ][gc,init ] Version: 21.0.2+13-LTS-jvmci-23.1-b30 (release)
[0.006s][info   ][gc,init ] NUMA Support: Disabled
[0.006s][info   ][gc,init ] CPUs: 20 total, 20 available
[0.007s][info   ][gc,init ] Memory: 31762M
[0.007s][info   ][gc,init ] Large Page Support: Disabled
[0.007s][info   ][gc,init ] Address Space Type: Contiguous/Unrestricted/Complete
[0.007s][info   ][gc,init ] Address Space Size: 245760M
[0.007s][info   ][gc,init ] Heap Backing File: /memfd:java_heap
[0.007s][info   ][gc,init ] Heap Backing Filesystem: tmpfs (0x1021994)
[0.007s][info   ][gc,init ] Min Capacity: 5120M
[0.007s][info   ][gc,init ] Initial Capacity: 5120M
[0.007s][info   ][gc,init ] Max Capacity: 15360M
[0.007s][info   ][gc,init ] Soft Max Capacity: 15360M
[0.007s][info   ][gc,init ] Medium Page Size: 32M
[0.007s][info   ][gc,init ] Pre-touch: Enabled
[0.007s][info   ][gc,init ] Available space on backing filesystem: N/A
[0.007s][info   ][gc,init ] Uncommit: Enabled
[0.007s][info   ][gc,init ] Uncommit Delay: 300s
[0.008s][info   ][gc,init ] GC Workers for Old Generation: 5 (dynamic)
[0.008s][debug  ][gc,marking] Expanding mark stack space: 0M->32M
[0.008s][info   ][gc,init   ] GC Workers for Young Generation: 5 (dynamic)
[0.008s][debug  ][gc,marking] Expanding mark stack space: 0M->32M
[0.796s][debug  ][gc,task   ] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.048s][info   ][gc,init   ] GC Workers Max: 5 (dynamic)
[1.049s][info   ][gc,init   ] Runtime Workers: 12
[1.049s][info   ][gc        ] Using The Z Garbage Collector
[1.049s][info   ][gc,metaspace] CDS archive(s) not mapped
[1.049s][info   ][gc,metaspace] Compressed class space mapped at: 0x0000000080000000-0x00000000c0000000, reserved size: 1073741824
[1.049s][info   ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0, Narrow klass range: 0xc0000000
[1,063s][debug  ][gc,heap     ] Uncommit Timeout: 300s
[1,064s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x00007f374fa10010) [0x00007f374fa101a0, 0x00007f374fa102a0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,064s][debug  ][gc,nmethod  ] Rebuilding NMethod Table: 0->1024 entries, 0(0%->0%) registered, 0(0%->0%) unregistered
[1,077s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x00007f374fa10310) [0x00007f374fa104e0, 0x00007f374fa10890] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.signedHashCode (0x00007f374fa10990) [0x00007f374fa10b40, 0x00007f374fa10d08] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.vectorizedHashCode (0x00007f374fa10e10) [0x00007f374fa11120, 0x00007f374fa12060] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.probe (0x00007f374fa12410) [0x00007f374fa12600, 0x00007f374fa12bd8] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.equals (0x00007f374fa12e10) [0x00007f374fa12fc0, 0x00007f374fa13250] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: java.lang.Math.floorMod (0x00007f374fa13390) [0x00007f374fa13520, 0x00007f374fa136c8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.hashCode (0x00007f374fa13790) [0x00007f374fa13940, 0x00007f374fa13b70] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,078s][debug  ][gc,nmethod  ] Register NMethod: java.lang.String.equals (0x00007f374fa13c90) [0x00007f374fa13e60, 0x00007f374fa142f8] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,079s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.hashCode (0x00007f374fa14410) [0x00007f374fa145c0, 0x00007f374fa14900] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
